Summary of Donations reported by Donors to Australian Labor Party - 2016-17,
data exported: 23/Oct/2018 09:10,
DonorClientNm,RecipientClientNm,AmountPaid,
"ANZ Banking Group Limited","Australian Labor Party (ALP)","150000.0000",
"National Automotive Leasing and Salary Packaging Association","Australian Labor Party (ALP)","128100.0000",
"Woodside Energy Limited","Australian Labor Party (ALP)","110000.0000",
"PricewaterhouseCoopers","Australian Labor Party (ALP)","85600.0000",
"Mr William Johnston","Australian Labor Party (Western Australian Branch)","79250.0000",
"Registered Clubs Association of NSW (t/as ClubsNSW)","Australian Labor Party (ALP)","67500.0000",
"Crescent Capital Partners Holdings Pty Ltd","Australian Labor Party (ALP)","61250.0000",
"PricewaterhouseCoopers","Australian Labor Party (Victorian Branch)","54655.0000",
"Mineral Resources","Australian Labor Party (Western Australian Branch)","53700.0000",
"Ernst & Young","Australian Labor Party (Western Australian Branch)","53519.0000",
"CFMEU National Office","Australian Labor Party (ALP)","51925.0000",
"Visa AP (Australia) Pty Ltd","Australian Labor Party (ALP)","51500.0000",
"Ms Samantha Rowe","Australian Labor Party (Western Australian Branch)","51050.0000",
"Mr Matthew Hughes","Australian Labor Party (Western Australian Branch)","51000.0000",
"Berrimah North Developments","Australian Labor Party (Northern Territory) Branch","50000.0000",
"Estate of the Late Ann Margaret Gruen","Australian Labor Party (ALP)","50000.0000",
"Northwake Pty Ltd","Australian Labor Party (Northern Territory) Branch","50000.0000",
"NT Kerbing Pty Ltd","Australian Labor Party (Northern Territory) Branch","50000.0000",
"Randazzo C & G Development Pty Ltd","Australian Labor Party (Northern Territory) Branch","50000.0000",
"Riverlee Corporation Pty Ltd","Australian Labor Party (Victorian Branch)","50000.0000",
"Crown Resorts Limited","Australian Labor Party (Western Australian Branch)","46955.0000",
"The Pharmacy Guild of Australia","Australian Labor Party (Victorian Branch)","46600.0000",
"Genworth Mortgage Insurance Australia Limited","Australian Labor Party (ALP)","45825.0000",
"Mulloway Pty Ltd","Australian Labor Party (Western Australian Branch)","45600.0000",
"Lion Pty Ltd","Australian Labor Party (ALP)","45250.0000",
"BFJ PTY LTD","Australian Labor Party (ALP)","45000.0000",
"BFJ PTY LTD","Australian Labor Party (N.S.W. Branch)","45000.0000",
"Novartis Pharmaceuticals Australia Pty Limited","Australian Labor Party (ALP)","44550.0000",
"INSURANCE COUNCIL OF AUSTRALIA","Australian Labor Party (ALP)","44406.0000",
"The Pharmacy Guild of Australia","Australian Labor Party (ALP)","43000.0000",
"Commonwealth Bank of Australia","Australian Labor Party (ALP)","42150.0000",
"AICA Engineering","Australian Labor Party (Western Australian Branch)","41055.0000",
"Nova Smash Repairs","Australian Labor Party (Western Australian Branch)","40400.0000",
"The Star Entertainment Group Limited (formerly Echo Entertainmen","ALP National Secretariat/ALP-FED","40250.0000",
"Bertocchi Small Goods","Australian Labor Party (Victorian Branch)","40000.0000",
"Mr Michael Burns","Australian Labor Party (Northern Territory) Branch","40000.0000",
"Primary Health Care Limited","ALP-FED","39600.0000",
"Tabcorp Holdings Limited","Australian Labor Party (ALP)","38500.0000",
"Ms Jackie Trad","Australia Labor Party (State of Queensland) / ALP-QLD","38000.0000",
"KPMG Australia","Australian Labor Party (State of Queensland)","37299.0000",
"Australian Hotels Association - Federal Office","Australian Labor Party (ALP)","37065.0000",
"Deloitte Touche Tohmatsu","Australian Labor Party (ALP)","36988.0000",
"Medicines Australia Limited","Australian Labor Party (ALP)","36050.0000",
"Johnson & Johnson Pty Ltd","ALP-FED","35100.0000",
"Maurice Blackburn Pty Ltd","Australian Labor Party (ALP)","34210.0000",
"Macquarie Telecom Pty Ltd","Australian Labor Party (ALP)","33250.0000",
"Ernst & Young","Australian Labor Party (State of Queensland)","33000.0000",
"Wesfarmers Limited","Australian Labor Party (Western Australian Branch)","33000.0000",
"KPMG Australia","Australian Labor Party (ALP)","32500.0000",
"Macquarie Group Limited","Australian Labor Party (ALP)","32500.0000",
"Macquarie Group Limited","Australian Labor Party (N.S.W. Branch)","31500.0000",
"Rockingham Park Pty Ltd","Australian Labor Party (Western Australian Branch)","31100.0000",
"Prime Projects","Australian Labor Party (Western Australian Branch)","30600.0000",
"AMP Services Ltd","Australian Labor Party (ALP)","30300.0000",
"Ms Amber-Jade Sanderson","Australian Labor Party (Western Australian Branch)","30150.0000",
"Registered Clubs Association of NSW (t/as ClubsNSW)","Australian Labor Party (N.S.W. Branch)","30090.0000",
"BOSSY BLUE PTY LTD","Australian Labor Party (N.S.W. Branch)","30000.0000",
"Hong Kong Kingson Investment Co., Ltd.","Australian Labor Party NSW Branch Watson Federal Campaign A/C AL","30000.0000",
"Perdaman Chemicals & Fertiliser Pty Ltd","Australian Labor Party (Western Australian Branch)","30000.0000",
"Vertical Technology Group Pty Ltd","Australian Labor Party (Northern Territory) Branch","30000.0000",
"SingTel Optus Pty Ltd","Australian Labor Party (ALP)","29000.0000",
"Transurban Limited","Australian Labor Party (ALP)","28500.0000",
"AdminWestpacBanking Corpor","Australian Labor Party (ALP)","28250.0000",
"Origin Energy","Australian Labor Party (ALP)","27750.0000",
"Tabcorp Holdings Limited","Australian Labor Party (Victorian Branch)","27750.0000",
"Australian Hotels Association (N.S.W.)","Australian Labor Party (ALP)","27500.0000",
"Pathology Australia Incorporated","Australian Labor Party (ALP)","27500.0000",
"Sanofi-Aventis Australia Pty Ltd","Australian Labor Party (ALP)","27500.0000",
"Santos Limited","ALP-FED","27500.0000",
"Mr John Kirby","ALP-VIC","26825.0000",
"Woodside Energy Limited","Australian Labor Party (Western Australian Branch)","25500.0000",
"Joondanna Investments Pty Ltd","Australian Labor Party (Northern Territory) Branch","25000.0000",
"Macquarie Group Limited","Australian Labor Party (Victorian Branch)","25000.0000",
"Mr Antonios Tomazos","Australian Labor Party (Northern Territory) Branch","25000.0000",
"Mr Peter Edwards","Australian Labor Party (Victorian Branch)","25000.0000",
"Mrs Jennie Urban","Australian Labor Party (Western Australian Branch)","25000.0000",
"Tomazos Group Pty Ltd","Australian Labor Party (Northern Territory) Branch","25000.0000",
"Visa AP (Australia) Pty Ltd","Australian Labor Party (Victorian Branch)","25000.0000",
"Zaparas Lawyers Pty Ltd","Australian Labor Party (Victorian Branch)","25000.0000",
"Insurance Australia Group Limited","Australian Labor Party (ALP)","24950.0000",
"Retail Guild of Australia Inc","ALP-WA","24530.0000",
"Chevron Australia Pty Ltd","Australian Labor Party (ALP)","24000.0000",
"Crown Resorts Limited","Australian Labor Party (N.S.W. Branch)","23500.0000",
"Pardoo Beef Corporation Pty Ltd","Australian Labor Party (Western Australian Branch)","23000.0000",
"Pfizer Australia Pty Limited","ALP-FED","22650.0000",
"Hawker Britton Pty Ltd","Australian Labor Party (Western Australian Branch)","22570.0000",
"Master Builders Australia Ltd","Australian Labor Party (ALP)","22250.0000",
"Mr Mr Peter Watson MLA","Australian Labor Party (Western Australian Branch)","22200.0000",
"Health Insurance Restricted Membership Association of Australia","ALP-FED Federal Labor Business Forum","22000.0000",
"MSD","Australian Labor Party (ALP)","22000.0000",
"Plenary Group Holdings Pty Ltd","Australian Labor Party (State of Queensland)","22000.0000",
"QBE Insurance (Australia) Limited","Australian Labor Party (ALP)","22000.0000",
"Suncorp Group Limited","Australian Labor Party (ALP) - (ALP-FED)","22000.0000",
"Satterley Property Group Pty Ltd","Australian Labor Party (Western Australian Branch)","20741.0000",
"Financial Services Council Limited","ALP-FED","20250.0000",
"Roche Products Pty Ltd","Australian Labor Party (ALP)","20250.0000",
"CEPU Electrical Energy and Services Division, NSW Divisional Bra","ALP Eden-Monaro Federal Campaign Account/ALP-NSW","20000.0000",
"Jefferson Investments Pty Limited","Australian Labor Party (ALP)","20000.0000",
"Mr Christopher Gambian","Australian Labor Party (N.S.W. Branch)","20000.0000",
"Mr Michael Gudinski","ALP-VIC","20000.0000",
"PTM Group Pty Ltd","Australian Labor Party (Northern Territory) Branch","20000.0000",
"Randazzo Properties Pty Ltd","Australian Labor Party (Northern Territory) Branch","20000.0000",
"Territory Property Group Pty Ltd","Australian Labor Party (Northern Territory) Branch","20000.0000",
"The Pharmacy Guild of Australia","Australian Labor Party (Western Australian Branch)","19200.0000",
"AdminWestpacBanking Corpor","Australian Labor Party (Victorian Branch)","19000.0000",
"Mr John Kirby","ALP-FED","18695.0000",
"CapitalHill Advisory Pty Ltd","Australian Labor Party (ALP)","18500.0000",
"Plenary Group Holdings Pty Ltd","Australian Labor Party (Victorian Branch)","18229.0000",
"Ernst & Young","Australian Labor Party (ALP)","17693.0000",
"Tabcorp Holdings Limited","Australian Labor Party (Western Australian Branch)","17050.0000",
"PricewaterhouseCoopers","Australian Labor Party (State of Queensland)","17010.0000",
"The Star Entertainment Group Limited (formerly Echo Entertainmen","Australian Labor Party (State of Queensland)/ALP-QLD","16901.0000",
"BlueScope Steel Limited","Australian Labor Party (ALP)","16500.0000",
"Clinical Laboratories Pty Ltd","Australian Labor Party (ALP)","16500.0000",
"CropLife Australia Limited","Australian Labor Party (ALP)","16500.0000",
"Manildra Group","Australian Labor Party (ALP)","16500.0000",
"NATIONAL ROADS & MOTORISTS' ASSOCIATION LIMITED","Australian Labor Party (ALP)","16500.0000",
"Association of Marine Park Tourism Operators Limited (AMPTO)","Australian Labor Party (State of Queensland)","15500.0000",
"Australian Hotels Association (SA Branch)","Australian Labor Party (SA Branch) ALP-SA","15342.0000",
"Australian Services Union - National Office","Australian Labor Party (Western Australian Branch)","15000.0000",
"Manildra Group","Australian Labor Party (N.S.W. Branch)","15000.0000",
"Mr David Whittome","WA Labor Party ALP-WA","15000.0000",
"Corrs Chambers Westgarth","Australian Labor Party - Victoria (ALP - VIC)","14105.0000",
"Pacific Equity Partners Pty Limited","Australian Labor Party (ALP)","13750.0000",
"QBE Insurance (Australia) Limited","Australian Labor Party (South Australian Branch)","13586.0000",
"Mr Jason McLellan","Australian Labor Party (Western Australian Branch)","13500.0000",
"Allianz Australia Limited","Australian Labor Party (Victorian Branch) / ALP-VIC","13000.0000",
"Maurice Blackburn Pty Ltd","Australian Labor Party (Victorian Branch)","12900.0000",
"Ernst & Young","Australian Labor Party (South Australian Branch)","12880.0000",
"Origin Energy","Australian Labor Party (State of Queensland)","12760.0000",
"CPA Australia","Australian Labor Party (ALP)","12600.0000",
"Chevron Australia Pty Ltd","Australian Labor Party (Western Australian Branch)","12408.0000",
"Crown Resorts Limited","Australian Labor Party (ALP)","12200.0000",
"Seven West Media Limited","Australian Labor Party (ALP)","12100.0000",
"Australian Rail, Tram and Bus Industry Union","Australian Labor Party (State of Queensland)","12000.0000",
"Suncorp Group Limited","Australian Labor Party (Victorian Branch) - (ALP-VIC)","12000.0000",
"BlueScope Steel Limited","Australian Labor Party (Victorian Branch)","11800.0000",
"Tabcorp Holdings Limited","Australian Labor Party (State of Queensland)","11700.0000",
"Aurizon Holdings Ltd","Australian Labor Party (State of Queensland)","11320.0000",
"Financial Services Council Limited","ALP-NSW","11219.0000",
"Aurizon Holdings Ltd","Australian Labor Party (ALP)","11000.0000",
"Caltex Australia Limited","ALP - WA","11000.0000",
"Financial Services Council Limited","ALP-QLD","11000.0000",
"Visa AP (Australia) Pty Ltd","Australian Labor Party (State of Queensland)","11000.0000",
"Origin Energy","Australian Labor Party (Victorian Branch)","10100.0000",
"3 Oceans Property Pty Ltd","Australian Labor Party (Western Australian Branch)","10000.0000",
"AdminWestpacBanking Corpor","Australian Labor Party (South Australian Branch)","10000.0000",
"Infrastructure Partnerships Australia Ltd","ALP National Secretariat","10000.0000",
"Sydney Airport Corporation Limited","Australian Labor Party (ALP)","10000.0000",
"Retail Guild of Australia Inc","ALP-NSW","9300.0000",
"Chevron Australia Pty Ltd","Australian Labor Party (South Australian Branch)","8800.0000",
"Registered Clubs Association of NSW (t/as ClubsNSW)","Australian Labor Party (Victorian Branch)","8123.0000",
"Allianz Australia Limited","Australian Labor Party (ALP) / ALP-FED","7800.0000",
"NATIONAL ROADS & MOTORISTS' ASSOCIATION LIMITED","Australian Labor Party (N.S.W. Branch)","7750.0000",
"Ernst & Young","Australian Labor Party (N.S.W. Branch)","7600.0000",
"Insurance Australia Group Limited","Australian Labor Party (N.S.W. Branch)","7300.0000",
"PricewaterhouseCoopers","Australian Labor Party (South Australian Branch)","6705.0000",
"Minerals Council of Australia","Progressive Business Association (ALP-VIC)","6700.0000",
"ALH Group Pty Ltd","ALP - VIC","6442.0000",
"Deloitte Touche Tohmatsu","Australian Labor Party (N.S.W. Branch)","6283.0000",
"Crown Resorts Limited","Australian Labor Party (Victorian Branch)","6200.0000",
"Transport workers Union of Australia Federal Council","Australian Labor Party (N.S.W. Branch)","6120.0000",
"KPMG Australia","Australian Labor Party (South Australian Branch)","5675.0000",
"Allianz Australia Limited","Australian Labor Party (State of Queensland) / ALP-QLD","5660.0000",
"MSD","Country Labor Party","5500.0000",
"Suncorp Group Limited","Australian Labor Party (State of Queensland) - (ALP-QLD)","5500.0000",
"Caltex Australia Limited","ALP - FED","5248.0000",
"Energy Developments Pty Ltd","Australian Labor Party (ALP)","5000.0000",
"Suncorp Group Limited","Australian Labor Party (Western Australian Branch) - (ALP-WA)","5000.0000",
"Visa AP (Australia) Pty Ltd","Australian Labor Party (N.S.W. Branch)","5000.0000",
"Deloitte Touche Tohmatsu","Australian Labor Party (South Australian Branch)","4950.0000",
"Transport workers Union of Australia Federal Council","Australian Labor Party (Western Australian Branch)","4950.0000",
"Australian Hotels Association (SA Branch)","ALP-SA Australian Labor Party (SA Branch)","4945.0000",
"Caltex Australia Limited","ALP - NSW","4664.0000",
"Australian Rail, Tram and Bus Industry Union","Australian Labor Party (N.S.W. Branch)","4490.0000",
"Australian Rail, Tram and Bus Industry Union","Australian Labor Party (ALP)","4091.0000",
"Infrastructure Partnerships Australia Ltd","ALP NSW Branch","4090.0000",
"Financial Services Council Limited","APL-QLD","4000.0000",
"Macquarie Group Limited","Australian Labor Party (Western Australian Branch)","3750.0000",
"KPMG Australia","Australian Labor Party (Victorian Branch)","3500.0000",
"Santos Limited","ALP-SA","3295.0000",
"Origin Energy","Australian Labor Party (N.S.W. Branch)","3200.0000",
"Retail Guild of Australia Inc","ALP-FED","3100.0000",
"Crown Resorts Limited","Australian Labor Party (State of Queensland)","3000.0000",
"Plenary Group Holdings Pty Ltd","Country Labor Party","3000.0000",
"PricewaterhouseCoopers","Australian Labor Party (Western Australian Branch)","2735.0000",
"Australian Automobile Association","Australian Labor Party (ALP)","2700.0000",
"Consolidated Properties Group Pty Ltd","ALP","2627.0000",
"Santos Limited","ALP-WA","2366.0000",
"AdminWestpacBanking Corpor","Australian Labor Party (N.S.W. Branch)","2200.0000",
"Maurice Blackburn Pty Ltd","Australian Labor Party (Western Australian Branch)","2200.0000",
"ALH Group Pty Ltd","ALP - WA","2000.0000",
"Medtronic Australasia Pty Ltd","ALP-VIC","2000.0000",
"PERRON GROUP TRUST","Australian Labor Party (Western Australian Branch)","2000.0000",
"Santos Limited","ALP-QLD","1760.0000",
"Insurance Australia Group Limited","Australian Labor Party (Tasmanian Branch)","1720.0000",
"ALH Group Pty Ltd","ALP - FED","1500.0000",
"Healthscope Operations Pty td","Australian Labor Party (Victorian Branch)","1500.0000",
"Profile Consulting (Aust) PTY LTD","Australian Labor Party (N.S.W. Branch)","1500.0000",
"Transport workers Union of Australia Federal Council","Australian Labor Party (ALP)","1500.0000",
"Australian Private Hospitals Association","Australian Labor Party (ALP)","1318.0000",
"Profile Consulting (Aust) PTY LTD","Australian Labor Party (ALP)","1300.0000",
"Health Insurance Restricted Membership Association of Australia","ALP-VIC Progressive Business","1200.0000",
"Plenary Group Holdings Pty Ltd","Australian Labor Party (Western Australian Branch)","1112.0000",
"AdminWestpacBanking Corpor","Australian Labor Party (Western Australian Branch)","1100.0000",
"Insurance Australia Group Limited","Australian Labor Party (ACT Branch)","1100.0000",
"QBE Insurance (Australia) Limited","Australian Labor Party (Western Australian Branch)","1100.0000",
"Infrastructure Partnerships Australia Ltd","ALP VIC Branch","1090.0000",
"Transport workers Union of Australia Federal Council","Country Labor Party","1025.0000",
"Origin Energy","Australian Labor Party (Northern Territory) Branch","1000.0000",
"Schaffer Corporation Limited","ALP- WA","1000.0000",
"Deloitte Touche Tohmatsu","Australian Labor Party (ACT Branch)","970.0000",
"J Hutchinson Pty Ltd","Australian Labor Party (State of Queensland)","900.0000",
"Origin Energy","Australian Labor Party (South Australian Branch)","900.0000",
"Allianz Australia Limited","Australian Labor Party (South Australian Branch) / ALP-SA","825.0000",
"Medicines Australia Limited","Australian Labor Party (N.S.W. Branch)","800.0000",
"Australian Rail, Tram and Bus Industry Union","Australian Labor Party (Western Australian Branch)","500.0000",
"Tabcorp Holdings Limited","Australian Labor Party (South Australian Branch)","450.0000",
"Maurice Blackburn Pty Ltd","Australian Labor Party (ACT Branch)","405.0000",
"Johnson & Johnson Pty Ltd","ALP-NSW","400.0000",
"Mineral Resources","Australian Labor Party (ALP)","400.0000",
"MSD","Australian Labor Party (N.S.W. Branch)","400.0000",
"Novartis Pharmaceuticals Australia Pty Limited","Australian Labor Party (N.S.W. Branch)","400.0000",
"Roche Products Pty Ltd","Australian Labor Party (N.S.W. Branch)","400.0000",
"Santos Limited","ALP-NSW","400.0000",
"Commonwealth Bank of Australia","Country Labor Party","300.0000",
"North West Constructions Pty Ltd","Australian Labor Party (Northern Territory) Branch","300.0000",
"Medtronic Australasia Pty Ltd","ALP-FED","250.0000",
"Commonwealth Bank of Australia","Australian Labor Party (South Australian Branch)","220.0000",
"Allianz Australia Limited","Country Labor Party / CLR-NSW","200.0000",
"Maurice Blackburn Pty Ltd","Australian Labor Party (State of Queensland)","127.0000",
